Strategy,App,Iteration,Energy,Mem,CPU,Requests,Response Size,Transfer Over NW,Load Time
Network Only,jetzt,1,70.13952,1214460.723,16.04747368,48,2145084,791746,1932
Network Only,jetzt,2,70.13952,1214460.723,16.04747368,48,2145084,791434,1764
Network Only,jetzt,3,71.162388,1214460.723,16.04747368,48,2145084,790745,1755
Network Only,jetzt,4,72.185256,1214460.723,16.04747368,48,2145084,791448,1696
Network Only,jetzt,5,73.646496,1214460.723,16.04747368,48,2145084,791746,1624
Network Only,jetzt,6,72.185256,1214460.723,16.04747368,48,2145084,791434,1778
Network Only,jetzt,7,72.33138,1214460.723,16.04747368,48,2145084,790745,1811
Network Only,jetzt,8,70.577892,1214460.723,16.04747368,48,2145084,791746,1690
Network Only,jetzt,9,73.500372,1214460.723,16.04747368,48,2145084,791434,1811
Network Only,jetzt,10,73.062,1214460.723,16.04747368,48,2145084,791746,1703
Network Only,Bird and Earth,1,86.359284,1180550.582,10.88284211,69,2168862,106976,1772
Network Only,Bird and Earth,2,83.729052,1180550.582,10.88284211,69,2173983,1070220,1862
Network Only,Bird and Earth,3,86.651532,1180550.582,10.88284211,69,2168865,1067428,1507
Network Only,Bird and Earth,4,93.227112,1180550.582,10.88284211,48,2145084,791746,2572
Network Only,Bird and Earth,5,81.82944,1180550.582,10.88284211,69,2168862,106976,1941
Network Only,Bird and Earth,6,92.350368,1180550.582,10.88284211,69,2173983,1070220,1813
Network Only,Bird and Earth,7,85.774788,1180550.582,10.88284211,69,2168862,106976,1772
Network Only,Bird and Earth,8,90.59688,1180550.582,10.88284211,69,2173983,1070220,1862
Network Only,Bird and Earth,9,98.195328,1180550.582,10.88284211,69,2168865,1067428,1507
Network Only,Bird and Earth,10,81.975564,1180550.582,10.88284211,48,2145084,791746,2572
Network Only,lacuenta,1,66.340296,1194680.453,11.84347953,17,428508,148932,583
Network Only,lacuenta,2,63.125568,1194680.453,11.84347953,17,428508,149549,387
Network Only,lacuenta,3,65.317428,1194680.453,11.84347953,17,428505,148949,416
Network Only,lacuenta,4,65.463552,1194680.453,11.84347953,17,428508,148932,386
Network Only,lacuenta,5,56.842236,1194680.453,11.84347953,17,428508,149549,405
Network Only,lacuenta,6,57.865104,1194680.453,11.84347953,17,428505,148949,422
Network Only,lacuenta,7,64.440684,1194680.453,11.84347953,17,428508,148932,432
Network Only,lacuenta,8,64.002312,1194680.453,11.84347953,17,428508,149549,468
Network Only,lacuenta,9,63.856188,1194680.453,11.84347953,17,428505,148949,474
Network Only,lacuenta,10,59.91084,1194680.453,11.84347953,17,428508,148932,357
Stale While Revalidate,Football Peek,1,59.340456,1133416.41,16.09193347,20,1058770,453321,431
Stale While Revalidate,Football Peek,2,56.224728,1133416.41,16.09193347,15,1033431,381001,295
Stale While Revalidate,Football Peek,3,60.473448,1133416.41,16.09193347,13,1023460,380997,312
Stale While Revalidate,Football Peek,4,56.791224,1133416.41,16.09193347,12,661641,18657,296
Stale While Revalidate,Football Peek,5,61.181568,1133416.41,16.09193347,16,1038828,396826,605
Stale While Revalidate,Football Peek,6,63.447552,1133416.41,16.09193347,16,1038828,396845,291
Stale While Revalidate,Football Peek,7,60.473448,1133416.41,16.09193347,15,1033431,381001,295
Stale While Revalidate,Football Peek,8,72.086616,1133416.41,16.09193347,16,1023460,380997,312
Stale While Revalidate,Football Peek,9,59.765328,1133416.41,16.09193347,15,1033433,381001,315
Stale While Revalidate,Football Peek,10,60.756696,1133416.41,16.09193347,16,1038828,396826,293
Stale While Revalidate,Dev's Coffee,1,68.829264,1551476.545,16.75986298,38,16454114,8224536,1973
Stale While Revalidate,Dev's Coffee,2,65.005416,1551476.545,16.75986298,36,16435844,8218607,1203
Stale While Revalidate,Dev's Coffee,3,81.4338,1551476.545,16.75986298,36,16435844,8218866,1410
